profit,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages_2,status,tagline,title,vote_average,vote_count
-79627709,90000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,24113,"[{'id': 2301, 'name': 'architect'}, {'id': 3457, 'name': 'cellist'}, {'id': 9713, 'name': 'friends'}, {'id': 190816, 'name': 'anniversary'}]",en,Town & Country,"Porter Stoddard is a well-known New York architect who is at a crossroads... a nexus where twists and turns lead to myriad missteps some with his wife Ellie, others with longtime friends Mona and her husband Griffin. Deciding which direction to take often leads to unexpected encounters with hilarious consequences.",1.004579,"[{'name': 'New Line Cinema', 'id': 12}]",[],27/4/01,10372291,104,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There's no such thing as a small affair.,Town & Country,3.7,16
-80445998,130000000,"[{'id': 18, 'name': 'Drama'}]",,6972,"[{'id': 440, 'name': 'missionary'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2752, 'name': 'ranch'}, {'id': 5657, 'name': 'australia'}, {'id': 6731, 'name': 'british'}, {'id': 7856, 'name': 'racist'}, {'id': 9656, 'name': 'cattle drive'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 221178, 'name': 'stampede'}, {'id': 229066, 'name': 'waltzing matilda'}, {'id': 229067, 'name': 'trampled to death'}]",en,Australia,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.",28.840997,"[{'name': 'Bazmark Films', 'id': 240}, {'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment III', 'id': 6332}, {'name': 'ScreenWest', 'id': 7888}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",18/11/08,49554002,165,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '\u65e5\u672c\u8a9e'}]",Released,Welcome to Australia!,Australia,6.3,694
-84540684,149000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",http://www.dreamworksanimation.com/flushed/,11619,"[{'id': 212, 'name': 'london england'}, {'id': 1449, 'name': 'underworld'}, {'id': 1571, 'name': 'return'}, {'id': 3799, 'name': 'ship'}, {'id': 4456, 'name': 'frog'}, {'id': 5490, 'name': 'girlfriend'}, {'id': 9345, 'name': 'rubin'}]",en,Flushed Away,"London high-society mouse, Roddy is flushed down the toilet by Sid, a common sewer rat. Hang on for a madcap adventure deep in the sewer bowels of Ratropolis, where Roddy meets the resourceful Rita, the rodent-hating Toad and his faithful thugs, Spike and Whitey.",22.550135,"[{'name': 'Aardman Animations', 'id': 297}, {'name': 'DreamWorks Animation', 'id': 521}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",22/10/06,64459316,85,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Someone's Going Down,Flushed Away,6,874
-87982678,98000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",,1408,"[{'id': 911, 'name': 'exotic island'}, {'id': 1454, 'name': 'treasure'}, {'id': 1969, 'name': 'map'}, {'id': 3799, 'name': 'ship'}, {'id': 5470, 'name': 'scalp'}, {'id': 12988, 'name': 'pirate'}]",en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.029308,"[{'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Carolco Pictures', 'id': 14723}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",22/12/95,10017322,119,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,5.7,136
-91969578,92620000,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",,19,"[{'id': 312, 'name': 'man vs machine'}, {'id': 1001, 'name': 'underground world'}, {'id': 1436, 'name': 'inventor'}, {'id': 1761, 'name': 'metropolis'}, {'id': 2346, 'name': 'worker'}, {'id': 2964, 'name': 'future'}, {'id': 3223, 'name': 'machine town'}, {'id': 3640, 'name': 'work'}, {'id': 4034, 'name': 'class society'}, {'id': 4565, 'name': 'dystopia'}, {'id': 5966, 'name': 'tower of babel'}, {'id': 6662, 'name': 'delirium'}, {'id': 10012, 'name': 'chase scene'}, {'id': 10125, 'name': 'mad scientist'}, {'id': 11222, 'name': 'prophet'}, {'id': 14544, 'name': 'robot'}, {'id': 14796, 'name': 'destruction'}, {'id': 154802, 'name': 'silent film'}, {'id': 201028, 'name': 'depravity'}, {'id': 206472, 'name': 'masterpiece'}, {'id': 234109, 'name': 'downtrodden'}, {'id': 234110, 'name': 'saviour'}]",de,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",32.351527,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Universum Film (UFA)', 'id': 12372}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",10/1/27,650422,153,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,8,657
-92896027,100000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",,11692,"[{'id': 305, 'name': 'moon'}, {'id': 585, 'name': 'casino'}, {'id': 1010, 'name': 'bar'}, {'id': 2334, 'name': 'nightclub'}, {'id': 2964, 'name': 'future'}, {'id': 6220, 'name': 'mafia boss'}, {'id': 18069, 'name': 'laser gun'}]",en,The Adventures of Pluto Nash,"The year is 2087, the setting is the moon. Pluto Nash, the high-flying successful owner of the hottest nightclub in the universe, finds himself in trouble when he refuses to sell his club to lunar gangster Mogan, who just happens to be helping the mysterious Rex Crater mastermind a plan to take over the entire moon.",12.092241,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Mel's Cite du Cinema', 'id': 54502}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",15/8/02,7103973,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Action's future has arrived...,The Adventures of Pluto Nash,4.4,142
-98301101,160000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",,1911,"[{'id': 616, 'name': 'witch'}, {'id': 1964, 'name': 'cave'}, {'id': 1975, 'name': 'arabian'}, {'id': 5475, 'name': 'scandinavia'}, {'id': 5894, 'name': 'bagdad'}, {'id': 5895, 'name': 'viking'}, {'id': 5939, 'name': 'iraq'}, {'id': 6091, 'name': 'war'}, {'id': 10364, 'name': 'mission'}]",en,The 13th Warrior,"In AD 922, Arab courtier, Ahmad Ibn Fadlan accompanies a party of Vikings to the barbaric North to combat a terror that slaughters Vikings and devours their flesh.",27.220157,"[{'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",27/8/99,61698899,`,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'no', 'name': 'Norsk'}]",Released,Prey for the living.,The 13th Warrior,6.4,510
-111007242,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",http://disney.go.com/disneypictures/marsneedsmoms/#home,50321,"[{'id': 5202, 'name': 'boy'}, {'id': 9951, 'name': 'alien'}, {'id': 10084, 'name': 'rescue'}, {'id': 10539, 'name': 'martian'}, {'id': 12553, 'name': 'alien abduction'}, {'id': 14909, 'name': 'alien invasion'}, {'id': 15101, 'name': 'based on children's book'}, {'id': 179431, 'name': 'duringcreditsstinger'}]",en,Mars Needs Moms,"When Martians suddenly abduct his mom, mischievous Milo rushes to the rescue and discovers why all moms are so special.",12.362599,"[{'name': 'Walt Disney Animation Studios', 'id': 6125}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/3/11,38992758,88,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Mom needs a little space.,Mars Needs Moms,5.5,199
-119180039,145000000,"[{'id': 37, 'name': 'Western'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,10733,"[{'id': 1556, 'name': 'texas'}, {'id': 3776, 'name': 'officer'}, {'id': 8862, 'name': 'uprising'}, {'id': 155466, 'name': 'alamo'}, {'id': 163127, 'name': 'mexican'}]",en,The Alamo,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",10.660441,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/4/04,25819961,137,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Espa\u00f1ol'}]",Released,You will never forget,The Alamo,5.8,106
-165710090,255000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",http://disney.go.com/the-lone-ranger/,57201,"[{'id': 1556, 'name': 'texas'}, {'id': 2673, 'name': 'horse'}, {'id': 5385, 'name': 'survivor'}, {'id': 5901, 'name': 'texas ranger'}, {'id': 9104, 'name': 'partner'}, {'id': 9503, 'name': 'outlaw'}, {'id': 10685, 'name': 'escape'}, {'id': 10909, 'name': 'lawyer'}, {'id': 13008, 'name': 'train'}, {'id': 178867, 'name': 'lone ranger'}, {'id': 179419, 'name': 'comanche'}, {'id': 222787, 'name': 'the lone ranger'}, {'id': 228232, 'name': 'tonto'}]",en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Infinitum Nihil', 'id': 2691}, {'name': 'Silver Bullet Productions (II)', 'id': 37380}, {'name': 'Blind Wink Productions', 'id': 37381}, {'name': 'Classic Media', 'id': 37382}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/7/13,89289910,149,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Never Take Off the Mask,The Lone Ranger,5.9,2311
